INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,STATUS,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,COMPLEXITY_LEVEL_IDENTIFIER,FUEL_MODEL_IDENTIFIER,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,EXPECTED_CONTAINMENT_DATE,PCT_PERIM_TO_BE_CONTAINED,SECNDRY_FUEL_MODEL_IDENTIFIER,ADDNTL_FUEL_MODEL_IDENTIFIER,GEN_FIRE_BEHAVIOR_IDENTIFIER,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER
7149959,7149916,2016-07-01 22:15:00,2016-07-02 08:00:00,U,1450.0,0.0,4495899.0,4495912.0,,4496037.0,2016-07-07 12:00:00,,100,4495913.0,4495918.0,4496296.0,4496301,4496311,
7151207,7151154,2017-06-12 11:00:00,2017-06-13 19:00:00,U,832.0,100.0,4495897.0,4495910.0,832,4496037.0,2017-06-16 12:00:00,,100,,,4496298.0,,,
7151221,7151154,2017-07-13 23:00:00,2017-07-19 21:00:00,F,832.0,100.0,4495897.0,4495910.0,832.4,4496037.0,2017-06-19 12:00:00,,100,,,4496298.0,,,
7151229,7151154,2017-06-10 22:15:00,2017-06-11 16:45:00,U,832.0,100.0,4495898.0,4495910.0,832,4496037.0,2017-06-15 12:00:00,,100,,,4496298.0,4496306,4496314,
7152186,7151961,2017-06-03 20:00:00,2017-06-04 20:00:00,U,300.0,0.0,4495898.0,4495918.0,16000,4496037.0,2017-07-15 12:00:00,,0,4495909.0,4495921.0,4496296.0,4496310,4496313,4496305
7152204,7151961,2017-06-01 16:15:00,2017-06-02 21:00:00,I,40.0,0.0,4495898.0,4495918.0,16000,4496037.0,2017-07-15 12:00:00,,0,4495909.0,4495921.0,4496296.0,,,
7152843,7151961,2017-06-21 20:00:00,2017-06-22 19:00:00,U,11532.0,53.0,4495899.0,4495918.0,18000,4496037.0,2017-07-15 12:00:00,,100,4495909.0,4495921.0,4496296.0,4496305,4496304,4496307
7154849,7154808,2017-02-23 17:00:00,2017-02-23 19:00:00,I,2000.0,0.0,4495896.0,4495911.0,,,2017-03-01 12:00:00,,100,,,4496295.0,4496303,,
7154862,7154808,2017-02-23 17:15:00,2017-02-23 19:15:00,U,7000.0,0.0,4495896.0,4495911.0,,,2017-03-01 12:00:00,,100,,,4496295.0,,,
7154882,7154881,2017-02-23 16:15:00,2017-02-23 20:15:00,F,749.0,100.0,4495897.0,4495909.0,749,4496037.0,2017-02-23 12:00:00,,100,4495911.0,,4496297.0,,,
7154897,7154896,2017-02-24 14:30:00,2017-02-24 20:00:00,F,200.0,100.0,4495896.0,4495911.0,200,4496037.0,2017-02-24 12:00:00,,100,4495918.0,,4496296.0,4496302,,
7154914,7154913,2017-02-25 14:00:00,2017-02-25 17:45:00,F,277.0,100.0,4495897.0,4495909.0,277,4496037.0,2017-02-25 12:00:00,,100,4495910.0,,4496297.0,,,
7154925,7154924,2017-02-28 13:00:00,2017-02-28 17:00:00,F,400.0,100.0,4495897.0,4495915.0,,,2017-02-26 12:00:00,,100,,,4496298.0,,,
7154936,7154924,2017-02-27 10:00:00,2017-02-27 16:00:00,U,400.0,100.0,4495897.0,4495915.0,,,2017-02-26 12:00:00,,100,,,4496298.0,,,
7154947,7154924,2017-02-25 22:00:00,2017-02-26 09:00:00,I,400.0,100.0,4495897.0,4495915.0,,,2017-02-26 12:00:00,,100,,,4496297.0,,,
7154959,7154958,2017-02-25 20:00:00,2017-02-28 14:30:00,F,500.0,100.0,4495897.0,4495917.0,,,2017-02-25 12:00:00,,100,,,4496298.0,,,
7154971,7154958,2017-02-25 15:30:00,2017-02-25 20:00:00,I,500.0,75.0,4495897.0,4495917.0,,,2017-02-25 12:00:00,,100,,,4496296.0,4496303,,
7156673,7156672,2017-02-25 13:48:00,2017-02-26 16:30:00,F,270.0,100.0,4495897.0,4495910.0,270,4496037.0,2017-02-25 12:00:00,,100,4495911.0,,4496296.0,4496303,,
7156685,7156684,2017-02-26 16:45:00,2017-02-28 14:30:00,F,201.0,100.0,4495897.0,4495917.0,,,2017-02-26 12:00:00,,100,,,4496298.0,,,
7156697,7156684,2017-02-26 09:56:00,2017-02-26 16:45:00,I,201.0,75.0,4495897.0,4495917.0,,,2017-02-26 12:00:00,,100,,,4496296.0,4496303,4496304,
7156723,7156722,2017-02-27 15:30:00,2017-03-02 11:00:00,F,300.0,100.0,4495897.0,4495910.0,,,2017-02-27 12:00:00,,100,,,4496298.0,,,
7156735,7156722,2017-02-27 12:20:00,2017-02-27 15:30:00,I,300.0,25.0,4495897.0,4495910.0,,,2017-02-27 12:00:00,,100,,,4496297.0,4496304,,
7156752,7156751,2017-03-04 10:00:00,2017-03-05 11:00:00,U,466.0,75.0,4495896.0,4495917.0,466,4496037.0,2017-03-20 12:00:00,,100,4495911.0,,4496298.0,4496314,,
7156764,7156751,2017-03-05 11:00:00,2017-03-07 12:00:00,F,466.0,100.0,4495896.0,4495917.0,466,4496037.0,2017-03-20 12:00:00,,100,4495911.0,,4496298.0,,,
7156774,7156751,2017-03-01 10:00:00,2017-03-02 10:00:00,U,466.0,35.0,4495897.0,4495917.0,466,4496037.0,2017-03-20 12:00:00,,100,4495911.0,,4496298.0,4496314,,
7156787,7156751,2017-03-02 10:00:00,2017-03-04 10:00:00,U,466.0,55.0,4495897.0,4495917.0,466,4496037.0,2017-03-20 12:00:00,,100,4495911.0,,4496298.0,4496314,,
7156799,7156751,2017-02-28 09:30:00,2017-03-01 10:00:00,U,466.0,25.0,4495897.0,4495917.0,466,4496037.0,2017-03-20 12:00:00,,100,4495911.0,,4496298.0,,,
7157736,7157637,2017-02-14 08:00:00,2017-02-14 20:00:00,U,600.0,0.0,4495900.0,,,,2017-02-24 12:00:00,,0,,,,,,
7158717,7158679,2017-02-19 08:00:00,2017-02-19 20:00:00,U,4002.0,0.0,4495900.0,,,,2017-02-28 12:00:00,,0,,,,,,
7159099,7159088,2017-02-13 15:00:00,2017-02-14 11:00:00,U,897.0,90.0,4495899.0,4495911.0,897,4496037.0,2017-02-15 12:00:00,,100,4495910.0,,4496298.0,4496314,,
7159110,7159088,2017-02-12 19:30:00,2017-02-13 15:00:00,U,897.0,44.0,4495899.0,4495911.0,897,4496037.0,2017-02-15 12:00:00,,100,4495910.0,,4496297.0,4496304,,
7159122,7159088,2017-02-12 11:00:00,2017-02-12 19:30:00,I,877.0,24.0,4495899.0,4495911.0,877,4496037.0,2017-02-15 12:00:00,,100,4495910.0,,4496296.0,4496303,,
7159138,7159137,2017-02-13 08:45:00,2017-02-15 15:00:00,F,125.0,72.0,4495897.0,4495917.0,125,4496037.0,2017-02-14 12:00:00,,100,,,4496298.0,,,
7159152,7159137,2017-02-12 10:00:00,2017-02-12 17:30:00,I,125.0,72.0,4495897.0,4495918.0,125,4496037.0,2017-02-14 12:00:00,,100,,,4496296.0,4496303,,
7159170,7159169,2017-02-11 15:00:00,2017-02-11 21:00:00,F,180.0,100.0,4495897.0,4495915.0,180,4496037.0,2017-02-11 12:00:00,,100,,,4496297.0,4496302,,
7159190,7159189,2017-02-14 10:00:00,2017-02-15 10:00:00,I,15.0,100.0,4495896.0,4495910.0,,,2017-02-13 12:00:00,,100,,,4496297.0,4496306,,
7159199,7159189,2017-02-20 10:00:00,2017-02-21 11:00:00,F,15.0,100.0,4495896.0,4495910.0,,,2017-02-13 12:00:00,,100,,,4496296.0,4496303,,
7159212,7159211,2017-02-20 10:00:00,2017-02-21 11:00:00,F,1.0,100.0,4495896.0,4495911.0,,,2017-02-14 12:00:00,,100,,,4496297.0,4496303,,
7159222,7159211,2017-02-15 09:00:00,2017-02-16 10:00:00,I,1.0,100.0,4495896.0,4495911.0,,,2017-02-14 12:00:00,,100,,,4496297.0,4496306,,
7159242,7159241,2017-06-21 07:00:00,2017-06-21 10:00:00,F,110.0,100.0,4495897.0,4495917.0,125,4496037.0,2017-02-17 12:00:00,,100,,,4496298.0,,,
7160203,7160009,2017-05-01 06:00:00,2017-05-02 17:00:00,U,21866.0,75.0,4495898.0,4495911.0,66881,4496037.0,2017-06-15 12:00:00,,100,4495915.0,4495918.0,4496298.0,4496305,4496306,4496314
7153136,7153086,2017-02-22 08:00:00,2017-02-22 11:00:00,U,7200.0,100.0,4495897.0,4495909.0,,,2017-02-16 12:00:00,,100,,,4496298.0,,,
7153147,7153086,2017-02-18 12:00:00,2017-02-18 17:00:00,U,7200.0,100.0,4495897.0,4495909.0,,,2017-02-16 12:00:00,,100,,,4496297.0,,,
7153159,7153158,2017-02-17 17:00:00,2017-02-17 18:00:00,U,5475.0,75.0,4495896.0,4495915.0,,,2017-02-17 12:00:00,,100,,,4496298.0,,,
7153170,7153158,2017-02-15 11:15:00,2017-02-15 19:00:00,I,2000.0,30.0,4495896.0,4495915.0,,,2017-02-16 12:00:00,,100,,,4496297.0,,,
