ID,LUCODES_IDENTIFIER,CODE_TYPE,CODE_NAME,ABBREVIATION,DESCRIPTION,SORT_ORDER,R_SEG,CY
1,7483924.0,UTM_ZONE,UTM Zone 18,18,Zone Range:  78W -  72W      Central Meridian:  75W,18.0,,2018.0
2,7483925.0,UTM_ZONE,UTM Zone 19,19,Zone Range:  72W -  66W      Central Meridian:  69W,19.0,,2018.0
3,7483926.0,UTM_ZONE,UTM Zone 20,20,Zone Range:  66W -  60W      Central Meridian:  63W,20.0,,2018.0
4,7483927.0,UTM_ZONE,UTM Zone 21,21,Zone Range:  60W -  54W      Central Meridian:  57W,21.0,,2018.0
5,7483928.0,SIT_FSTAT_CATEGORY,Human-Caused,H,,1.0,,2018.0
6,7483929.0,SIT_FSTAT_CATEGORY,Lightning/Natural-Caused,L,,2.0,,2018.0
7,7483930.0,SIT_FSTAT_CATEGORY,Prescribed,RX,,3.0,,2018.0
8,7483931.0,PRINCIPAL_MERIDIAN,Black Hills,07,,7.0,,2018.0
9,7483932.0,PRINCIPAL_MERIDIAN,Boise,08,,8.0,,2018.0
10,7483933.0,PRINCIPAL_MERIDIAN,Chickasaw,09,,9.0,,2018.0
11,7483934.0,PRINCIPAL_MERIDIAN,Choctaw,10,,10.0,,2018.0
12,7483935.0,PRINCIPAL_MERIDIAN,Cimarron,11,,11.0,,2018.0
13,7483936.0,PRINCIPAL_MERIDIAN,Copper River,12,,12.0,,2018.0
14,7483937.0,PRINCIPAL_MERIDIAN,Fairbanks,13,,13.0,,2018.0
15,7483938.0,PRINCIPAL_MERIDIAN,Fifth Principal,,,8.0,,2018.0
16,7483939.0,PRINCIPAL_MERIDIAN,First Principal,,,9.0,,2018.0
17,7483940.0,PRINCIPAL_MERIDIAN,Fourth Principal,,,10.0,,2018.0
18,7483941.0,PRINCIPAL_MERIDIAN,Gila and Salt River,14,,14.0,,2018.0
19,7483942.0,PRINCIPAL_MERIDIAN,Humboldt,15,,15.0,,2018.0
20,7483943.0,PRINCIPAL_MERIDIAN,Huntsville,16,,16.0,,2018.0
21,7483944.0,PRINCIPAL_MERIDIAN,Indian,17,,17.0,,2018.0
22,7483945.0,PRINCIPAL_MERIDIAN,Kateel River,44,,44.0,,2018.0
23,7483946.0,PRINCIPAL_MERIDIAN,Louisiana,18,,18.0,,2018.0
24,7483947.0,PRINCIPAL_MERIDIAN,Michigan,19,,19.0,,2018.0
25,7483948.0,PRINCIPAL_MERIDIAN,Mount Diablo,,,19.0,,2018.0
26,7483949.0,PRINCIPAL_MERIDIAN,Navajo,22,,22.0,,2018.0
27,7483950.0,PRINCIPAL_MERIDIAN,New Mexico Principal,,,21.0,,2018.0
28,7483951.0,IRWIN_RESOURCE_TYPE,Heavy (Type 1),,Heavy (Type 1),2.0,,2018.0
29,7483952.0,IRWIN_RESOURCE_TYPE,Medium (Type 2),,Medium (Type 2),3.0,,2018.0
30,7483953.0,IRWIN_RESOURCE_TYPE,Light (Type 3),,Light (Type 3),4.0,,2018.0
31,7483954.0,IRWIN_RESOURCE_TYPE,VLAT,,VLAT,5.0,,2018.0
32,7483955.0,IRWIN_RESOURCE_TYPE,Fire,,Fire,6.0,,2018.0
33,7483956.0,IRWIN_RESOURCE_TYPE,"Handcrew, Type 1",,"Handcrew, Type 1",7.0,,2018.0
34,7483957.0,IRWIN_RESOURCE_TYPE,"Handcrew, Type 2",,"Handcrew, Type 2",8.0,,2018.0
35,7483958.0,IRWIN_RESOURCE_TYPE,"Handcrew, Type 2/IA",,"Handcrew, Type 2/IA",9.0,,2018.0
36,7483959.0,IRWIN_RESOURCE_TYPE,All Types,,All Types,10.0,,2018.0
37,7483960.0,IRWIN_RESOURCE_TYPE,"Engine, Type 1",,"Engine, Type 1",11.0,,2018.0
38,7483961.0,PRINCIPAL_MERIDIAN,Principal,20,,20.0,,2018.0
39,7483962.0,PRINCIPAL_MERIDIAN,Salt Lake,26,,26.0,,2018.0
40,7483963.0,PRINCIPAL_MERIDIAN,San Bernardino,27,,27.0,,2018.0
41,7483964.0,PRINCIPAL_MERIDIAN,Second Principal,,,25.0,,2018.0
42,7483965.0,PRINCIPAL_MERIDIAN,Seward,28,,28.0,,2018.0
43,7483966.0,PRINCIPAL_MERIDIAN,Sixth Principal,,,27.0,,2018.0
44,7483967.0,PRINCIPAL_MERIDIAN,St. Helena,24,,24.0,,2018.0
45,7483968.0,PRINCIPAL_MERIDIAN,St. Stephens,25,,25.0,,2018.0
