ID,LUCODES_IDENTIFIER,CODE_TYPE,CODE_NAME,ABBREVIATION,DESCRIPTION,SORT_ORDER,R_SEG,CY
1,9429818,IRWIN_RESOURCE_TYPE,SEAT,,SEAT,1,,2020
2,9429819,RESOURCE_TYPE,Track Vehicle,TRVH,Track Vehicle,1250,,2020
3,9429820,RESOURCE_TYPE,"Tractor Plow, Type 1",TPL1,"Tractor Plow, Type 1",270,,2020
4,9429821,RESOURCE_TYPE,"Tractor Plow, Type 2",TPL2,"Tractor Plow, Type 2",280,,2020
5,9429822,RESOURCE_TYPE,"Tractor Plow, Type 3",TPL3,"Tractor Plow, Type 3",290,,2020
6,9429823,RESOURCE_TYPE,"Tractor Plow, Type 4",TPL4,"Tractor Plow, Type 4",300,,2020
7,9429824,CASUALTY_ILLNESS_TYPE,Other,OTH,,11,,2020
8,9429825,TIME_DURATION,Hours,HRS,,1,,2020
9,9429826,TIME_DURATION,Days,DAYS,,1,,2020
10,9429827,TIME_DURATION,Months,MONTHS,,2,,2020
11,9429828,TIME_DURATION,Quarters,QTRS,,3,,2020
12,9429829,TIME_DURATION,Years,YRS,,4,,2020
13,9429830,UTM_ZONE,UTM Zone 11,11,Zone Range: 120W - 114W      Central Meridian: 117W,11,,2020
14,9429831,UTM_ZONE,UTM Zone 12,12,Zone Range: 114W - 108W      Central Meridian: 111W,12,,2020
15,9429832,UTM_ZONE,UTM Zone 13,13,Zone Range: 108W - 102W      Central Meridian: 105W,13,,2020
16,9429833,UTM_ZONE,UTM Zone 14,14,Zone Range: 102W -  96W      Central Meridian:  99W,14,,2020
17,9429834,UTM_ZONE,UTM Zone 15,15,Zone Range:  96W -  90W      Central Meridian:  93W,15,,2020
18,9429835,UTM_ZONE,UTM Zone 16,16,Zone Range:  90W -  84W      Central Meridian:  87W,16,,2020
19,9429836,UTM_ZONE,UTM Zone 17,17,Zone Range:  84W -  78W      Central Meridian:  81W,17,,2020
20,9429959,UTM_ZONE,UTM Zone 06,06,Zone Range: 150W - 144W      Central Meridian: 147W,6,,2020
21,9429960,UTM_ZONE,UTM Zone 07,07,Zone Range: 144W - 138W      Central Meridian: 141W,7,,2020
22,9429961,UTM_ZONE,UTM Zone 08,08,Zone Range: 138W - 132W      Central Meridian: 135W,8,,2020
23,9429962,UTM_ZONE,UTM Zone 09,09,Zone Range: 132W - 126W      Central Meridian: 129W,9,,2020
24,9429963,UTM_ZONE,UTM Zone 10,10,Zone Range: 126W - 120W      Central Meridian: 123W,10,,2020
25,9429964,INCIDENT_TYPE,Wildfire,WF,,1,,2020
26,9429965,INCIDENT_TYPE,Biological or Toxic Conditions,BI,,4,,2020
27,9429747,RESOURCE_TYPE,"Crew, Camp",CRC,"Crew, Camp",35,,2020
28,9429748,SIT209_REPORT_RESOURCE_GROUP,CREWS-AUTOSIT,,CREWS-AUTOSIT,11,,2020
29,9429749,FIRE_MGMT_COMPLEXITY_TYPE,Type 5 Incident,,Typically one or two resources and up to six personnel assigned.,10,,2020
30,9429750,FIRE_MGMT_COMPLEXITY_TYPE,Type 4 Incident,,Several resources required.  Control typically achieved in one operational period.,20,,2020
31,9429751,FIRE_MGMT_COMPLEXITY_TYPE,Type 3 Incident,,Incident may extend into several operational periods. A Type 3 Team may be assigned.  A significant number of resources may be assigned.,30,,2020
32,9429752,FIRE_MGMT_COMPLEXITY_TYPE,Type 2 Incident,,Exceeds the local control capability.  May require non-local resources to manage incident.  Most Command and General Staff positions are filled.  A written IAP is required.  Operations personnel usually do not exceed 200 per operational period.,40,,2020
33,9429753,FIRE_MGMT_COMPLEXITY_TYPE,Type 1 Incident,,"Highest complexity incident, requiring national resources to manage incident.  All Command and General Staff positions activated.  Operations personnel exceeds 500 per operational period.  High impact to local jurisdiction.",50,,2020
34,9429754,IRWIN_RESOURCE_TYPE,"Crew, Camp",,"Crew, Camp",49,,2020
35,9429755,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 5",,"Tractor Plow, Type 5",35,,2020
36,9429756,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 6",,"Tractor Plow, Type 6",36,,2020
37,9429757,RESOURCE_TYPE,"Tractor Plow, Type 5",TPL5,"Tractor Plow, Type 5",310,,2020
38,9429758,RESOURCE_TYPE,"Tractor Plow, Type 6",TPL6,"Tractor Plow, Type 6",320,,2020
39,9429759,NORTH_AMERICAN_TIME_ZONE,Canada/Atlantic,AST/ADT,Canada/Atlantic (AST/ADT),12,,2020
40,9429760,NORTH_AMERICAN_TIME_ZONE,Canada/Eastern,EST/EDT,Canada/Eastern (EST/EDT),13,,2020
41,9429761,NORTH_AMERICAN_TIME_ZONE,Canada/Central,CST/CDT,Canada/Central (CST/CDT),14,,2020
42,9429762,MATERIAL_INVOLVEMENT_TYPE,Short Grass (1 foot),SG,,1,,2020
43,9429763,MATERIAL_INVOLVEMENT_TYPE,Timber (Grass and Understory),T/GU,,2,,2020
44,9429764,MATERIAL_INVOLVEMENT_TYPE,Tall Grass (2.5 feet),TG,,3,,2020
45,9429765,MATERIAL_INVOLVEMENT_TYPE,Chaparral (6 feet),CH,,4,,2020
46,9429766,MATERIAL_INVOLVEMENT_TYPE,Brush (2 feet),BR,,5,,2020
47,9429767,MATERIAL_INVOLVEMENT_TYPE,"Dormant Brush, Hardwood Slash",DB/HS,,6,,2020
48,9429768,MATERIAL_INVOLVEMENT_TYPE,Southern Rough,SR,,7,,2020
49,9429769,MATERIAL_INVOLVEMENT_TYPE,Closed Timber Litter,CTL,,8,,2020
50,9429770,MATERIAL_INVOLVEMENT_TYPE,Hardwood Litter,HL,,9,,2020
51,9429771,MATERIAL_INVOLVEMENT_TYPE,Timber (Litter and Understory),T/LU,,10,,2020
52,9429772,MATERIAL_INVOLVEMENT_TYPE,Light Logging Slash,LLS,,11,,2020
53,9429773,MATERIAL_INVOLVEMENT_TYPE,Medium Logging Slash,MLS,,12,,2020
54,9429774,MATERIAL_INVOLVEMENT_TYPE,Heavy Logging Slash,HLS,,13,,2020
55,9429775,INCIDENT_SIZE_UOM,Acres,ACRES,,1,,2020
56,9429776,INCIDENT_SIZE_UOM,Hectares,HECTARES,,2,,2020
57,9429777,INCIDENT_SIZE_UOM,Square Kilometers,SQ KM,,3,,2020
58,9429778,INCIDENT_SIZE_UOM,Square Miles,SQ MILES,,4,,2020
59,9429779,INCIDENT_SIZE_UOM,City Blocks,CB,,5,,2020
60,9429780,INCIDENT_SIZE_UOM,Multiple City Blocks,MCB,,6,,2020
61,9429781,NORTH_AMERICAN_TIME_ZONE,US/Eastern,EST/EDT,US/Eastern (EST/EDT),1,,2020
62,9429782,NORTH_AMERICAN_TIME_ZONE,Canada/Saskatchewan,CST,Canada/Saskatchewan (CST),16,,2020
63,9429783,NORTH_AMERICAN_TIME_ZONE,Canada/Mountain,MST/MDT,Canada/Mountain (MST/MDT),17,,2020
64,9429784,NORTH_AMERICAN_TIME_ZONE,Canada/Pacific,PST/PDT,Canada/Pacific (PST/PDT),18,,2020
65,9429785,NORTH_AMERICAN_TIME_ZONE,Canada/Yukon,PST/PDT,Canada/Yukon (PST/PDT),19,,2020
66,9429786,NORTH_AMERICAN_TIME_ZONE,Mexico/General,CST/CDT,Mexico/General (CST/CDT),20,,2020
67,9429787,NORTH_AMERICAN_TIME_ZONE,Mexico/BajaSur,MST/MDT,Mexico/BajaSur (MST/MDT),21,,2020
68,9429788,NORTH_AMERICAN_TIME_ZONE,Mexico/BajaNorte,PST/PDT,Mexico/BajaNorte (PST/PDT),22,,2020
69,9429789,IRWIN_RESOURCE_KIND,Aircraft,,Aircraft,1,,2020
70,9429790,CONTAINED_COMPLETE_UOM,Percent,PCT,,1,,2020
71,9429791,CONTAINED_COMPLETE_UOM,PA,MMA,,2,,2020
72,9429792,RESOURCE_TYPE,Air Supply Truck,ASTR,Air Supply Truck,1010,,2020
73,9429793,IRWIN_RESOURCE_KIND,Equipment,,Equipment,2,,2020
74,9429794,IRWIN_RESOURCE_KIND,Crews,,Crews,3,,2020
75,9429795,IRWIN_RESOURCE_KIND,Overhead,,Overhead,4,,2020
76,9429796,IRWIN_RESOURCE_CATEGORY,Airtanker,,Airtanker,1,,2020
77,9429797,RESOURCE_TYPE,Hazardous Materials Unit,HAZU,Hazardous Materials Unit,1130,,2020
78,9429798,RESOURCE_TYPE,"Quint, Combination",QUINT,"Quint, Combination",1200,,2020
79,9429799,RESOURCE_TYPE,Medic Squad,MSQD,Medic Squad,1170,,2020
80,9429800,IRWIN_RESOURCE_CATEGORY,Boat,,Boat,2,,2020
81,9429801,IRWIN_RESOURCE_CATEGORY,Handcrew,,Handcrew,3,,2020
82,9429802,RESOURCE_TYPE,"Canine, Bomb Squad",K9BS,"Canine, Bomb Squad",1070,,2020
83,9429803,IRWIN_RESOURCE_CATEGORY,Dozer,,Dozer,4,,2020
84,9429804,RESOURCE_TYPE,Technical Rescue Team,TRT,Technical Rescue Team,1240,,2020
85,9429805,RESOURCE_TYPE,Alpine Rescue Team,MSAR,Alpine Rescue Team,1190,,2020
86,9429806,IRWIN_RESOURCE_CATEGORY,Engine,,Engine,5,,2020
87,9429807,IRWIN_RESOURCE_CATEGORY,Fixed Wing,,Fixed Wing,6,,2020
88,9429808,RESOURCE_TYPE,Cave Rescue Team,CRT,Cave Rescue Team,1110,,2020
89,9429809,RESOURCE_TYPE,Mine Rescue Team,MRT,Mine Rescue Team,1180,,2020
90,9429810,RESOURCE_TYPE,Underwater SAR,USRT,Underwater SAR,1280,,2020
91,9429811,IRWIN_RESOURCE_CATEGORY,Helicopter,,Helicopter,7,,2020
92,9429812,IRWIN_RESOURCE_CATEGORY,Heavy,,Heavy,8,,2020
93,9429813,RESOURCE_TYPE,Salvage Unit,SALU,Salvage Unit,1210,,2020
94,9429814,IRWIN_RESOURCE_CATEGORY,Single Resource,,Single Resource,9,,2020
95,9429815,IRWIN_RESOURCE_CATEGORY,Other Equipment,,Other Equipment,10,,2020
96,9429816,IRWIN_RESOURCE_CATEGORY,Watertender,,Watertender,11,,2020
97,9429817,IRWIN_RESOURCE_CATEGORY,Tractor Plow,,Tractor Plow,12,,2020
98,9429966,INCIDENT_TYPE,Flooding,FL,,6,,2020
99,9429967,INCIDENT_TYPE,Volcano,VO,,18,,2020
100,9429968,TT,NIMO,N,,12,,2020
101,9429969,INCIDENT_TYPE,Other,OT,,19,,2020
102,9429970,FIRE_SUPPRESSION_STRATEGY,Monitor,M,,1,,2020
103,9429971,FIRE_SUPPRESSION_STRATEGY,Confine,C,,2,,2020
104,9429972,FIRE_SUPPRESSION_STRATEGY,Point Zone Protection,PZP,,3,,2020
105,9429973,RESOURCE_TYPE,Aerial Apparatus,AEAP,Aerial Apparatus,1001,,2020
106,9429974,RESOURCE_TYPE,Rescue/Medical Unit,RMDU,Rescue/Medical Unit,222,,2020
107,9429975,RESOURCE_TYPE,Heavy Rescue Unit,HRU,Heavy Rescue Unit,221,,2020
108,9429976,FIRE_SUPPRESSION_STRATEGY,Full Suppression,FS,,7,,2020
109,9429977,STRUCTURE_SUMMARY_TYPE,Multiple Residences,MR,,2,,2020
110,9429978,STRUCTURE_SUMMARY_TYPE,Mixed Commercial / Residential,MC/R,,3,,2020
111,9429979,STRUCTURE_SUMMARY_TYPE,Nonresidential Commercial Property,NRC,,4,,2020
112,9429980,STRUCTURE_SUMMARY_TYPE,Other Minor Structures,OTH,,5,,2020
113,9429981,NORTH_AMERICAN_TIME_ZONE,US/Central,CST/CDT,US/Central (CST/CDT),2,,2020
114,9429982,NORTH_AMERICAN_TIME_ZONE,US/Mountain,MST/MDT,US/Mountain (MST/MDT),3,,2020
115,9429983,NORTH_AMERICAN_TIME_ZONE,US/Pacific,PST/PDT,US/Pacific (PST/PDT),4,,2020
116,9429984,NORTH_AMERICAN_TIME_ZONE,US/Alaska,AKST/AKDT,US/Alaska (AKST/AKDT),5,,2020
117,9429985,NORTH_AMERICAN_TIME_ZONE,US/Aleutian,HAST/HADT,US/Aleutian (HAST/HADT),6,,2020
118,9429986,NORTH_AMERICAN_TIME_ZONE,US/Hawaii,HST/HDT,US/Hawaii (HST/HDT),7,,2020
119,9429987,CASUALTY_ILLNESS_TYPE,Fatalities,F,,1,,2020
120,9429988,CASUALTY_ILLNESS_TYPE,With Injuries/Illness,II,,2,,2020
121,9429989,CASUALTY_ILLNESS_TYPE,Trapped/In Need of Rescue,T/INR,,3,,2020
122,9429990,CASUALTY_ILLNESS_TYPE,Missing,M,,4,,2020
123,9429991,CASUALTY_ILLNESS_TYPE,Evacuated,E,,5,,2020
124,9429992,WORLD_TIME_ZONE,US/Aleutian,,US/Aleutian,20,,2020
125,9429993,WORLD_TIME_ZONE,US/Arizona,,US/Arizona,30,,2020
126,9429994,INCIDENT_TYPE,Infrastructure Event,IN,,,,2020
127,9429995,INCIDENT_TYPE,Landslide/Mass Earth Movement/ Avalanche/ Sinkhole,LS,,,,2020
128,9429996,INCIDENT_TYPE,Medical Assist,MA,,,,2020
129,9429997,INCIDENT_TYPE,Marine Search/ Rescue/ Recovery,MN,,,,2020
130,9429998,INCIDENT_TYPE,Public Service Organization Event,PS,,,,2020
131,9429999,INCIDENT_TYPE,Radioactive/Nuclear Conditions,RD,,,,2020
132,9430000,INCIDENT_TYPE,Structure Fire,SF,,,,2020
133,9430001,INCIDENT_TYPE,Thunderstorm/ Tornado/High Winds,TS,,,,2020
134,9430002,INCIDENT_TYPE,Urban Search/ Rescue/ Recovery,UR,,,,2020
135,9430003,INCIDENT_TYPE,Vehicle Fire,VF,,,,2020
136,9430004,INCIDENT_TYPE,Severe Winter Weather,WW,,,,2020
137,9430005,CASUALTY_ILLNESS_TYPE,Sheltering in Place,SIP,,6,,2020
138,9430006,CASUALTY_ILLNESS_TYPE,In Temporary Shelters,ITS,,7,,2020
139,9430007,CASUALTY_ILLNESS_TYPE,Have Received Mass Immunizations,MI,,8,,2020
140,9430008,CASUALTY_ILLNESS_TYPE,Require Immunizations,RI,,9,,2020
141,9430009,CASUALTY_ILLNESS_TYPE,In Quarantine,IQ,,10,,2020
142,9430010,LIFE_SAFETY_HEALTH_THREAT_TYPE,No Likely Threat,NLT,,1,,2020
143,9430011,LIFE_SAFETY_HEALTH_THREAT_TYPE,Potential Future Threat,PFT,,2,,2020
144,9430012,LIFE_SAFETY_HEALTH_THREAT_TYPE,Mass Notifications in Progress,MNP,,3,,2020
145,9430013,LIFE_SAFETY_HEALTH_THREAT_TYPE,Mass Notifications Completed,MNC,,4,,2020
146,9430014,LIFE_SAFETY_HEALTH_THREAT_TYPE,No Evacuation(s) Imminent,NEI,,5,,2020
147,9430015,LIFE_SAFETY_HEALTH_THREAT_TYPE,Planning for Evacuation,PE,,6,,2020
148,9430016,LIFE_SAFETY_HEALTH_THREAT_TYPE,Planning for Shelter-in-Place,PSIP,,7,,2020
149,9430017,LIFE_SAFETY_HEALTH_THREAT_TYPE,Evacuation(s) in Progress,EP,,8,,2020
150,9430018,LIFE_SAFETY_HEALTH_THREAT_TYPE,Shelter-in-Place in Progress,SIPP,,9,,2020
151,9430019,LIFE_SAFETY_HEALTH_THREAT_TYPE,Repopulation in Progress,RP,,10,,2020
152,9430020,LIFE_SAFETY_HEALTH_THREAT_TYPE,Mass Immunization in Progress,MIP,,11,,2020
153,9430021,LIFE_SAFETY_HEALTH_THREAT_TYPE,Mass Immunization Complete,MIC,,12,,2020
