INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,STATUS,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,COMPLEXITY_LEVEL_IDENTIFIER,FUEL_MODEL_IDENTIFIER,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,EXPECTED_CONTAINMENT_DATE,PCT_PERIM_TO_BE_CONTAINED,SECNDRY_FUEL_MODEL_IDENTIFIER,ADDNTL_FUEL_MODEL_IDENTIFIER,GEN_FIRE_BEHAVIOR_IDENTIFIER,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER
11683718,11683717,1/8/2020 12:30:00 PM,1/8/2020 9:15:00 PM,I,250.000000,90,9429750,9429770,,,1/11/2020 12:00:00 PM,,100,,,9430148,9430153,,
11683732,11683717,1/9/2020 12:30:00 PM,1/10/2020 8:15:00 AM,U,250.000000,96,9429750,9429770,,,1/11/2020 12:00:00 PM,,100,,,9430148,,,
11683744,11683717,1/10/2020 8:00:00 AM,1/12/2020 8:00:00 AM,U,250.000000,100,9429750,9429770,,,1/11/2020 12:00:00 PM,,100,,,9430150,,,
11683755,11683717,1/10/2020 9:00:00 AM,1/11/2020 9:00:00 AM,F,250.000000,100,9429750,9429770,,,1/11/2020 12:00:00 PM,,100,,,9430150,,,
11683871,11683870,1/9/2020 5:00:00 PM,1/10/2020 2:00:00 PM,F,1689.000000,100,9429750,9429764,,,1/11/2020 12:00:00 PM,,100,,,9430148,9430155,,
11683919,11683918,1/10/2020 4:00:00 PM,1/10/2020 7:15:00 PM,I,6.000000,100,9429749,9429762,,,1/11/2020 12:00:00 PM,,100,,,9430150,,,
11683929,11683918,1/11/2020 8:45:00 AM,1/11/2020 9:00:00 AM,F,6.000000,100,9429749,9429762,,,1/11/2020 12:00:00 PM,,100,,,9430150,,,
11683966,11683965,1/13/2020 8:15:00 AM,1/13/2020 4:45:00 PM,I,772.000000,85,9429749,9429766,,,1/14/2020 12:00:00 PM,,100,9429762,,9430150,9430158,9430166,
11683982,11683965,1/14/2020 7:00:00 AM,1/14/2020 9:45:00 AM,F,772.000000,100,9429749,9429766,,,1/14/2020 12:00:00 PM,,100,9429762,,9430150,9430166,,
11684087,11684074,1/9/2020 1:00:00 PM,1/10/2020 5:30:00 PM,I,654.500000,80,9429750,9429764,354.5,9429890,1/11/2020 12:00:00 PM,,100,9429766,,9430148,9430155,9430156,9430157
11684075,11684074,1/10/2020 6:00:00 PM,1/11/2020 12:45:00 PM,F,654.500000,99,9429750,9429764,354.5,9429890,1/11/2020 12:00:00 PM,,100,9429766,,9430150,9430166,,
11684222,11684221,1/9/2020 8:45:00 AM,1/9/2020 5:30:00 PM,I,300.000000,90,9429750,9429770,,,1/12/2020 12:00:00 PM,,100,,,9430149,9430154,,
11684234,11684221,1/10/2020 8:00:00 AM,1/12/2020 8:00:00 AM,F,300.000000,100,9429750,9429770,,,1/12/2020 12:00:00 PM,,100,,,9430150,,,
11684361,11684349,1/1/2020 2:00:00 PM,1/2/2020 9:00:00 AM,I,1344.000000,50,9429750,9429764,1400,9429890,1/5/2020 12:00:00 PM,,100,,,9430148,,,
11684350,11684349,1/2/2020 2:00:00 PM,1/3/2020 8:00:00 AM,U,1416.000000,75,9429750,9429764,1450,9429890,1/5/2020 12:00:00 PM,,100,,,9430148,,,
11684376,11684349,1/4/2020 8:00:00 AM,1/5/2020 8:00:00 AM,U,1416.000000,90,9429750,9429764,1450,9429890,1/5/2020 12:00:00 PM,,100,,,9430149,,,
11684388,11684349,1/6/2020 10:00:00 AM,1/7/2020 9:00:00 AM,U,1416.000000,95,9429750,9429764,1450,9429890,1/7/2020 12:00:00 PM,,100,,,9430149,9430158,,
11684402,11684349,1/8/2020 12:00:00 PM,1/8/2020 6:00:00 PM,F,1416.000000,100,9429750,9429764,1416,9429890,1/8/2020 12:00:00 PM,,100,,,9430150,9430158,,
11684747,11684732,1/8/2020 4:15:00 PM,1/9/2020 3:30:00 PM,I,924.000000,95,9429750,9429762,924,9429890,1/11/2020 12:00:00 PM,,100,,,9430149,,,
11684733,11684732,1/9/2020 3:30:00 PM,1/9/2020 5:00:00 PM,F,924.000000,100,9429750,9429762,924,9429890,1/11/2020 12:00:00 PM,,100,,,9430150,,,
11684794,11684760,1/9/2020 7:00:00 AM,1/9/2020 8:00:00 AM,I,128.300000,20,9429750,9429766,150,9429890,1/11/2020 12:00:00 PM,,100,9429763,,9430148,9430154,,
11684774,11684760,1/10/2020 8:00:00 AM,1/10/2020 12:00:00 PM,U,129.000000,50,9429750,9429766,150,9429890,1/11/2020 12:00:00 PM,,100,9429763,,9430148,9430155,9430154,
11684784,11684760,1/11/2020 8:00:00 AM,1/12/2020 4:30:00 PM,U,129.000000,75,9429750,9429766,150,9429890,1/11/2020 12:00:00 PM,,100,9429763,,9430148,9430155,9430154,
11684805,11684760,1/14/2020 7:00:00 AM,1/14/2020 9:00:00 AM,U,128.300000,95,9429750,9429766,150,9429890,1/11/2020 12:00:00 PM,,100,9429763,,9430149,9430157,9430158,
11684761,11684760,1/14/2020 8:00:00 AM,1/14/2020 4:30:00 PM,F,129.000000,100,9429750,9429766,150,9429890,1/11/2020 12:00:00 PM,,100,9429763,,9430150,9430166,,
11684823,11684822,1/9/2020 12:30:00 AM,1/9/2020 4:00:00 AM,F,127.000000,100,9429750,9429771,127,9429890,1/9/2020 12:00:00 PM,,100,,,9430148,,,
11684851,11684850,1/8/2020 2:30:00 PM,1/9/2020 12:00:00 PM,F,2700.000000,100,9429750,9429762,2700,9429890,1/8/2020 12:00:00 PM,,100,,,9430148,,,
11684947,11684946,1/8/2020 2:00:00 PM,1/8/2020 5:00:00 PM,I,100.000000,99,9429750,9429764,,,1/9/2020 12:00:00 PM,,100,,,9430149,9430154,9430158,9430166
11684961,11684946,1/9/2020 8:00:00 AM,1/9/2020 5:00:00 PM,F,100.000000,100,9429750,9429764,,,1/9/2020 12:00:00 PM,,100,,,9430150,,,
11685000,11684988,1/8/2020 4:00:00 PM,1/8/2020 7:45:00 PM,I,210.000000,59,9429750,9429762,210,9429890,1/10/2020 12:00:00 PM,,100,,,9430148,9430154,9430156,9430157
11685015,11684988,1/8/2020 6:00:00 PM,1/9/2020 1:15:00 PM,U,210.000000,85,9429750,9429762,210,9429890,1/10/2020 12:00:00 PM,,100,,,9430150,9430166,,
11684989,11684988,1/9/2020 4:00:00 PM,1/10/2020 1:30:00 PM,F,210.000000,100,9429750,9429762,210,9429890,1/10/2020 12:00:00 PM,,100,,,9430150,9430166,,
11685030,11685029,1/8/2020 7:50:00 PM,1/9/2020 2:40:00 AM,F,105.000000,100,9429750,9429763,105,9429890,1/9/2020 12:00:00 PM,,100,9429767,,9430148,9430154,9430153,
11685059,11685045,1/8/2020 1:00:00 PM,1/9/2020 11:00:00 AM,I,173.800000,95,9429750,9429764,173.8,9429890,1/10/2020 12:00:00 PM,,100,9429770,,9430148,9430155,,
11685046,11685045,1/9/2020 1:00:00 PM,1/10/2020 1:00:00 PM,F,173.800000,100,9429750,9429764,173.8,9429890,1/10/2020 12:00:00 PM,,100,9429770,,9430150,9430166,,
11685087,11685075,1/8/2020 12:00:00 PM,1/9/2020 3:15:00 PM,I,400.000000,75,9429750,9429764,400,9429890,1/10/2020 12:00:00 PM,,100,9429766,,9430148,9430155,9430156,9430157
11685076,11685075,1/9/2020 4:00:00 PM,1/10/2020 1:30:00 PM,F,400.000000,100,9429750,9429764,400,9429890,1/10/2020 12:00:00 PM,,100,9429766,,9430150,9430166,,
11685118,11685105,1/9/2020 8:15:00 AM,1/9/2020 1:30:00 PM,I,157.000000,91,9429750,9429770,,,1/12/2020 12:00:00 PM,,100,,,9430148,9430154,,
11685106,11685105,1/10/2020 8:00:00 AM,1/12/2020 8:00:00 AM,F,157.000000,100,9429750,9429770,,,1/12/2020 12:00:00 PM,,100,,,9430150,,,
11685161,11685160,1/8/2020 12:30:00 PM,1/14/2020 5:00:00 PM,F,400.000000,100,9429750,9429764,400,9429890,1/10/2020 12:00:00 PM,,100,9429766,,9430150,9430166,,
11685197,11685188,1/12/2020 1:45:00 PM,1/12/2020 2:45:00 PM,I,0.100000,97,9429749,9429762,,,1/12/2020 12:00:00 PM,,100,,,9430150,,,
11685189,11685188,1/13/2020 1:30:00 PM,1/13/2020 1:40:00 PM,F,0.100000,100,9429749,9429762,,,1/13/2020 12:00:00 PM,,100,,,9430150,,,
11687689,11687680,1/17/2020 2:30:00 PM,1/17/2020 3:00:00 PM,I,0.100000,100,9429749,9429762,,,1/17/2020 12:00:00 PM,,100,,,9430150,,,
